from_lon,from_lat,to_from,to_lat,duration
-73.970974,40.785534,-73.970974,40.785534,0.0
-73.970974,40.785534,-73.961624,40.774368,390.8
-73.970974,40.785534,-73.954681,40.778942,473.4
-73.970974,40.785534,-73.952904,40.776581,527.8
-73.970974,40.785534,-73.978474,40.759205,929.7
-73.970974,40.785534,-73.978241,40.757679,905.2
-73.970974,40.785534,-73.991776,40.744263,1233.6
-73.970974,40.785534,-73.995415,40.745029,1119.3
-73.970974,40.785534,-73.992668,40.746607,1138.7
-73.970974,40.785534,-73.990974,40.739803,1300.4
-73.970974,40.785534,-73.962158,40.773075,463.7
-73.970974,40.785534,-73.959991,40.775928,368.5
-73.970974,40.785534,-73.963959,40.807819,568.2
-73.970974,40.785534,-73.990562,40.771133,572.0
-73.970974,40.785534,-73.982864,40.767757,534.5
-73.970974,40.785534,-73.982712,40.767513,539.9
-73.970974,40.785534,-73.970655,40.760887,788.1
-73.970974,40.785534,-73.967468,40.760452,891.8
-73.970974,40.785534,-73.955315,40.782555,468.0
-73.970974,40.785534,-73.955093,40.780228,504.4
-73.970974,40.785534,-73.956032,40.773472,450.5
-73.970974,40.785534,-73.963753,40.768196,552.9
-73.970974,40.785534,-73.978531,40.756889,926.9
-73.970974,40.785534,-73.978545,40.756748,929.8
-73.970974,40.785534,-73.991478,40.749952,1135.0
-73.970974,40.785534,-73.991486,40.749889,1136.5
-73.970974,40.785534,-73.984634,40.719101,1310.1
-73.970974,40.785534,-73.987267,40.719567,1335.4
-73.970974,40.785534,-73.980123,40.728678,1270.2
-73.970974,40.785534,-73.987346,40.719423,1334.3
-73.970974,40.785534,-73.980111,40.728567,1272.1
-73.970974,40.785534,-73.987678,40.719123,1345.7
-73.970974,40.785534,-73.980345,40.728842,1263.2
-73.961624,40.774368,-73.970974,40.785534,339.9
-73.954681,40.778942,-73.970974,40.785534,328.7
-73.952904,40.776581,-73.970974,40.785534,464.9
-73.978474,40.759205,-73.970974,40.785534,871.7
-73.978241,40.757679,-73.970974,40.785534,875.5
-73.991776,40.744263,-73.970974,40.785534,1326.6
-73.995415,40.745029,-73.970974,40.785534,1212.7
-73.992668,40.746607,-73.970974,40.785534,1334.7
-73.961624,40.774368,-73.961624,40.774368,0.0
-73.961624,40.774368,-73.954681,40.778942,282.7
-73.961624,40.774368,-73.952904,40.776581,325.0
-73.961624,40.774368,-73.978474,40.759205,883.3
-73.961624,40.774368,-73.978241,40.757679,711.1
-73.961624,40.774368,-73.991776,40.744263,1264.6
-73.961624,40.774368,-73.995415,40.745029,1431.3
-73.961624,40.774368,-73.992668,40.746607,1353.0
-73.961624,40.774368,-73.990974,40.739803,1218.9
-73.961624,40.774368,-73.962158,40.773075,217.9
-73.954681,40.778942,-73.961624,40.774368,223.6
-73.954681,40.778942,-73.954681,40.778942,0.0
-73.954681,40.778942,-73.952904,40.776581,274.8
-73.954681,40.778942,-73.978474,40.759205,1022.9
-73.954681,40.778942,-73.978241,40.757679,847.3
-73.954681,40.778942,-73.991776,40.744263,1220.7
-73.954681,40.778942,-73.995415,40.745029,1387.4
-73.954681,40.778942,-73.992668,40.746607,1398.7
-73.954681,40.778942,-73.990974,40.739803,1175.0
-73.954681,40.778942,-73.962158,40.773075,296.5
-73.952904,40.776581,-73.961624,40.774368,252.5
-73.952904,40.776581,-73.954681,40.778942,161.0
